"filename", "language", "C++", "C", "Ini", "Batch", "Assembly", "comment", "blank", "total"
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\DSP_Lib\Include\core_cmFunc.h", "C++", -23, 0, 0, 0, 0, -49, -16, -88
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\DSP_Lib\Include\core_cmInstr.h", "C++", -24, 0, 0, 0, 0, -48, -16, -88
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\DSP_Lib\Include\core_cmSimd.h", "C++", -29, 0, 0, 0, 0, -49, -19, -97
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\DSP_Lib\Include\core_sc000.h", "C++", -442, 0, 0, 0, 0, -291, -194, -927
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\DSP_Lib\Include\core_sc300.h", "C++", -939, 0, 0, 0, 0, -424, -383, -1746
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\JLinkSettings.ini", "Ini", 0, 0, -46, 0, 0, 0, -1, -47
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\OLED.c", "C", 0, -208, 0, 0, 0, -42, -19, -269
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\OLED.h", "C++", 0, 0, 0, 0, 0, 0, -1, -1
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\OLED_Periph.c", "C", 0, -8, 0, 0, 0, -19, -9, -36
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\OLED_Periph.h", "C++", -18, 0, 0, 0, 0, -1, -5, -24
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\RTE\_Master_Controller\RTE_Components.h", "C++", -4, 0, 0, 0, 0, -10, -7, -21
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\MDK-ARM\startup_stm32g474xx.s", "Assembly", 0, 0, 0, 0, -408, -43, -35, -486
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\CMSIS_RTOS_V2\cmsis_os.h", "C++", -385, 0, 0, 0, 0, -333, -129, -847
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\CMSIS_RTOS_V2\cmsis_os2.c", "C", 0, -1894, 0, 0, 0, -185, -404, -2483
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\CMSIS_RTOS_V2\cmsis_os2.h", "C++", -275, 0, 0, 0, 0, -319, -141, -735
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\CMSIS_RTOS_V2\freertos_mpool.h", "C++", -27, 0, 0, 0, 0, -27, -10, -64
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\CMSIS_RTOS_V2\freertos_os2.h", "C++", -97, 0, 0, 0, 0, -193, -21, -311
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\croutine.c", "C", 0, -179, 0, 0, 0, -117, -58, -354
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\event_groups.c", "C", 0, -457, 0, 0, 0, -181, -116, -754
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\FreeRTOS.h", "C++", -797, 0, 0, 0, 0, -262, -237, -1296
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\StackMacros.h", "C++", -65, 0, 0, 0, 0, -47, -22, -134
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\atomic.h", "C++", -169, 0, 0, 0, 0, -193, -53, -415
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\croutine.h", "C++", -68, 0, 0, 0, 0, -629, -24, -721
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\deprecated_definitions.h", "C++", -180, 0, 0, 0, 0, -38, -62, -280
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\event_groups.h", "C++", -45, 0, 0, 0, 0, -684, -29, -758
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\list.h", "C++", -97, 0, 0, 0, 0, -279, -37, -413
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\message_buffer.h", "C++", -29, 0, 0, 0, 0, -748, -27, -804
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\mpu_prototypes.h", "C++", -110, 0, 0, 0, 0, -38, -13, -161
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\mpu_wrappers.h", "C++", -119, 0, 0, 0, 0, -48, -23, -190
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\portable.h", "C++", -85, 0, 0, 0, 0, -86, -29, -200
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\projdefs.h", "C++", -68, 0, 0, 0, 0, -40, -17, -125
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\queue.h", "C++", -92, 0, 0, 0, 0, -1512, -52, -1656
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\semphr.h", "C++", -59, 0, 0, 0, 0, -1052, -30, -1141
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\stack_macros.h", "C++", -62, 0, 0, 0, 0, -47, -21, -130
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\stream_buffer.h", "C++", -55, 0, 0, 0, 0, -777, -28, -860
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\task.h", "C++", -194, 0, 0, 0, 0, -2246, -104, -2544
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\include\timers.h", "C++", -71, 0, 0, 0, 0, -1197, -42, -1310
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\list.c", "C", 0, -73, 0, 0, 0, -94, -32, -199
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\portable\MemMang\heap_4.c", "C", 0, -288, 0, 0, 0, -138, -67, -493
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\portable\RVDS\ARM_CM4F\port.c", "C", 0, -356, 0, 0, 0, -309, -124, -789
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\portable\RVDS\ARM_CM4F\portmacro.h", "C++", -132, 0, 0, 0, 0, -75, -46, -253
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\queue.c", "C", 0, -1910, 0, 0, 0, -645, -391, -2946
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\stream_buffer.c", "C", 0, -831, 0, 0, 0, -259, -174, -1264
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\tasks.c", "C", 0, -3192, 0, 0, 0, -1341, -778, -5311
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\Middlewares\Third_Party\FreeRTOS\Source\timers.c", "C", 0, -680, 0, 0, 0, -283, -165, -1128
"h:\ZHUOZHUOO--Github\DreamChaser-Arm\Software\DC_Arm_Controller\keilkill.bat", "Batch", 0, 0, 0, -25, 0, -1, -1, -27
"Total", "-", -76981, -34493, -46, -25, -408, -91399, -30029, -233381
